Número da conta: 326
----------------------------------------
Detalhes das Transações:
----------------------------------------
Tipo          | Valor  | Saldo
Depósito      | 774    | -2207
Pagamento     | 926    | -3133
Saque         | 759    | -3892
Depósito      | 502    | -3390
Depósito      | 578    | -2812
Depósito      | 546    | -2266
Saque         | 534    | -2800
Pagamento     | 512    | -3312
Pagamento     | 223    | -3535
Depósito      | 663    | -2872
Pagamento     | 485    | -3357
Depósito      | 641    | -2716
Depósito      | 318    | -2398
Depósito      | 751    | -1647
Pagamento     | 687    | -2334
Depósito      | 283    | -2051
Depósito      | 423    | -1628
Pagamento     | 472    | -2100
Saque         | 944    | -3044
Depósito      | 576    | -2468
Depósito      | 772    | -1696
Depósito      | 660    | -1036
Saque         | 776    | -1812
Saque         | 547    | -2359
Depósito      | 1129   | -1230
Depósito      | 802    | -428
Saque         | 546    | -974
Pagamento     | 406    | -1380
Depósito      | 327    | -1053
Saque         | 269    | -1322
Depósito      | 664    | -658
Depósito      | 637    | -21
Depósito      | 514    | 493
Saque         | 649    | -156
Depósito      | 217    | 61
Pagamento     | 806    | -745
Depósito      | 534    | -211
Depósito      | 247    | 36
Saque         | 762    | -726
Saque         | 1106   | -1832
Saque         | 73     | -1905
Depósito      | 627    | -1278
Depósito      | 942    | -336
Depósito      | 439    | 103
Pagamento     | 1104   | -1001
Saque         | 190    | -1191
Pagamento     | 619    | -1810
Saque         | 574    | -2384
Depósito      | 481    | -1903
Depósito      | 920    | -983
Saque         | 439    | -1422
Pagamento     | 653    | -2075
----------------------------------------
Saldo Atual: -2075

Número da conta: 336
----------------------------------------
Detalhes das Transações:
----------------------------------------
Tipo          | Valor  | Saldo
----------------------------------------
Pagamento     | 560    | -560
Saque         | 209    | -769
Depósito      | 413    | -356
Pagamento     | 250    | -606
Saque         | 559    | -1165
Saque         | 772    | -1937
Saque         | 439    | -2376
Pagamento     | 238    | -2614
Depósito      | 685    | -1929
Depósito      | 625    | -1304
Saque         | 1054   | -2358
Depósito      | 323    | -2035
Depósito      | 802    | -1233
Depósito      | 1035   | -198
Depósito      | 483    | 285
Pagamento     | 575    | -290
Saque         | 668    | -958
Saque         | 1035   | -1993
Saque         | 446    | -2439
Pagamento     | 764    | -3203
Depósito      | 806    | -2397
Saque         | 651    | -3048
Pagamento     | 787    | -3835
Saque         | 807    | -4642
Saque         | 822    | -5464
Pagamento     | 498    | -5962
Saque         | 846    | -6808
Depósito      | 979    | -5829
Pagamento     | 534    | -6363
Pagamento     | 632    | -6995
Saque         | 579    | -7574
Pagamento     | 699    | -8273
Depósito      | 350    | -7923
Depósito      | 402    | -7521
Saque         | 866    | -8387
Saque         | 168    | -8555
Pagamento     | 260    | -8815
Saque         | 751    | -9566
Saque         | 1049   | -10615
Depósito      | 708    | -9907
Pagamento     | 709    | -10616
Depósito      | 626    | -9990
Saque         | 586    | -10576
Saque         | 303    | -10879
Depósito      | 653    | -10226
Saque         | 571    | -10797
Depósito      | 665    | -10132
Saque         | 832    | -10964
Depósito      | 603    | -10361
Pagamento     | 965    | -11326
Depósito      | 646    | -10680
Pagamento     | 171    | -10851
Saque         | 763    | -11614
Depósito      | 469    | -11145
Depósito      | 577    | -10568
Saque         | 352    | -10920
Pagamento     | 505    | -11425
Saque         | 488    | -11913
Saque         | 548    | -12461
Saque         | 461    | -12922
Depósito      | 543    | -12379
Pagamento     | 405    | -12784
Depósito      | 1098   | -11686
Depósito      | 573    | -11113
Pagamento     | 907    | -12020
Depósito      | 164    | -11856
Depósito      | 968    | -10888
Depósito      | 539    | -10349
Saque         | 930    | -11279
Depósito      | 929    | -10350
Depósito      | 1127   | -9223
Pagamento     | 666    | -9889
Depósito      | 643    | -9246
Depósito      | 1200   | -8046
Depósito      | 338    | -7708
Depósito      | 596    | -7112
Pagamento     | 210    | -7322
Depósito      | 756    | -6566
Depósito      | 602    | -5964
Depósito      | 507    | -5457
Pagamento     | 462    | -5919
Depósito      | 688    | -5231
Depósito      | 283    | -4948
Depósito      | 397    | -4551
Saque         | 554    | -5105
Depósito      | 367    | -4738
Depósito      | 434    | -4304
Saque         | 968    | -5272
Depósito      | 1268   | -4004
Depósito      | 73     | -3931
Saque         | 455    | -4386
Saque         | 610    | -4996
----------------------------------------
Saldo Atual: -4996

Número da conta: 451
----------------------------------------
Detalhes das Transações:
----------------------------------------
Tipo          | Valor  | Saldo
----------------------------------------
Depósito      | 938    | 938
Depósito      | 514    | 1452
Pagamento     | 586    | 866
Depósito      | 398    | 1264
Pagamento     | 646    | 618
Depósito      | 434    | 1052
Pagamento     | 566    | 486
Depósito      | 41     | 527
Depósito      | 748    | 1275
Saque         | 460    | 815
Depósito      | 904    | 1719
Depósito      | 753    | 2472
Depósito      | 1016   | 3488
Depósito      | 701    | 4189
Depósito      | 407    | 4596
Depósito      | 723    | 5319
Depósito      | 858    | 6177
Pagamento     | 696    | 5481
Depósito      | 633    | 6114
Saque         | 1090   | 5024
Pagamento     | 706    | 4318
Depósito      | 632    | 4950
Pagamento     | 739    | 4211
Depósito      | 828    | 5039
Pagamento     | 762    | 4277
Depósito      | 1071   | 5348
Pagamento     | 789    | 4559
Saque         | 319    | 4240
Depósito      | 577    | 4817
Depósito      | 398    | 5215
Saque         | 663    | 4552
Depósito      | 614    | 5166
Pagamento     | 425    | 4741
Saque         | 164    | 4577
Pagamento     | 182    | 4395
Pagamento     | 648    | 3747
Depósito      | 1040   | 4787
Saque         | 779    | 4008
Pagamento     | 464    | 3544
Depósito      | 387    | 3931
Pagamento     | 803    | 3128
Pagamento     | 467    | 2661
Depósito      | 469    | 3130
Pagamento     | 588    | 2542
Saque         | 835    | 1707
Depósito      | 1107   | 2814
Depósito      | 661    | 3475
Depósito      | 313    | 3788
Depósito      | 656    | 4444
Pagamento     | 924    | 3520
Pagamento     | 684    | 2836
Depósito      | 540    | 3376
Pagamento     | 339    | 3037
Depósito      | 638    | 3675
Saque         | 603    | 3072
Depósito      | 537    | 3609
Saque         | 468    | 3141
Depósito      | 212    | 3353
Depósito      | 800    | 4153
Depósito      | 801    | 4954
Depósito      | 635    | 5589
Pagamento     | 459    | 5130
Saque         | 1079   | 4051
Saque         | 357    | 3694
Pagamento     | 504    | 3190
Pagamento     | 514    | 2676
Saque         | 766    | 1910
Depósito      | 887    | 2797
Saque         | 636    | 2161
Depósito      | 984    | 3145
Depósito      | 437    | 3582
Saque         | 413    | 3169
Pagamento     | 803    | 2366
Depósito      | 332    | 2698
Saque         | 288    | 2410
Depósito      | 838    | 3248
Pagamento     | 687    | 2561
Pagamento     | 623    | 1938
Pagamento     | 703    | 1235
Saque         | 303    | 932
Depósito      | 882    | 1814
Saque         | 254    | 1560
Depósito      | 436    | 1996
Depósito      | 645    | 2641
Depósito      | 847    | 3488
Pagamento     | 547    | 2941
Pagamento     | 367    | 2574
Depósito      | 718    | 3292
Saque         | 862    | 2430
Saque         | 912    | 1518
Saque         | 456    | 1062
Depósito      | 711    | 1773
Pagamento     | 809    | 964
Saque         | 470    | 494
Saque         | 922    | -428
Depósito      | 737    | 309
Saque         | 595    | -286
Saque         | 615    | -901
Pagamento     | 580    | -1481
Saque         | 576    | -2057
Pagamento     | 839    | -2896
Saque         | 752    | -3648
Depósito      | 761    | -2887
Depósito      | 577    | -2310
Depósito      | 573    | -1737
Depósito      | 367    | -1370
Depósito      | 508    | -862
Pagamento     | 1144   | -2006
Depósito      | 273    | -1733
Saque         | 986    | -2719
Depósito      | 422    | -2297
----------------------------------------
Saldo Atual: -2297

Número da conta: 769
----------------------------------------
Detalhes das Transações:
----------------------------------------
Tipo          | Valor  | Saldo
----------------------------------------
Depósito      | 309    | 309
Saque         | 727    | -418
Depósito      | 219    | -199
Depósito      | 472    | 273
Depósito      | 272    | 545
Depósito      | 104    | 649
Pagamento     | 618    | 31
Depósito      | 371    | 402
Saque         | 662    | -260
Depósito      | 676    | 416
Depósito      | 230    | 646
Depósito      | 665    | 1311
Pagamento     | 813    | 498
Depósito      | 940    | 1438
Depósito      | 473    | 1911
Saque         | 343    | 1568
Saque         | 977    | 591
Depósito      | 636    | 1227
Pagamento     | 123    | 1104
Pagamento     | 669    | 435
Depósito      | 332    | 767
Pagamento     | 198    | 569
Pagamento     | 355    | 214
Saque         | 625    | -411
Depósito      | 909    | 498
Depósito      | 583    | 1081
Pagamento     | 435    | 646
Depósito      | 598    | 1244
Saque         | 769    | 475
Pagamento     | 475    | 0
Pagamento     | 575    | -575
Depósito      | 174    | -401
Saque         | 788    | -1189
Pagamento     | 445    | -1634
Saque         | 216    | -1850
Pagamento     | 1118   | -2968
Pagamento     | 571    | -3539
Saque         | 707    | -4246
Saque         | 480    | -4726
Depósito      | 660    | -4066
Depósito      | 370    | -3696
Saque         | 403    | -4099
Pagamento     | 880    | -4979
Saque         | 681    | -5660
Depósito      | 660    | -5000
Depósito      | 646    | -4354
Depósito      | 320    | -4034
Depósito      | 222    | -3812
Pagamento     | 654    | -4466
Pagamento     | 894    | -5360
Depósito      | 222    | -5138
Pagamento     | 512    | -5650
Depósito      | 783    | -4867
Pagamento     | 324    | -5191
Saque         | 665    | -5856
Depósito      | 1059   | -4797
Depósito      | 551    | -4246
Depósito      | 604    | -3642
Pagamento     | 492    | -4134
Depósito      | 651    | -3483
Pagamento     | 95     | -3578
Saque         | 905    | -4483
Depósito      | 478    | -4005
Depósito      | 807    | -3198
Depósito      | 152    | -3046
Pagamento     | 748    | -3794
Pagamento     | 322    | -4116
Depósito      | 286    | -3830
Saque         | 531    | -4361
Saque         | 815    | -5176
Saque         | 371    | -5547
Saque         | 592    | -6139
Depósito      | 657    | -5482
Pagamento     | 666    | -6148
Saque         | 1027   | -7175
Pagamento     | 81     | -7256
Depósito      | 576    | -6680
Depósito      | 902    | -5778
Pagamento     | 1106   | -6884
Pagamento     | 551    | -7435
Depósito      | 181    | -7254
Depósito      | 370    | -6884
Pagamento     | 566    | -7450
Pagamento     | 642    | -8092
Saque         | 845    | -8937
Saque         | 283    | -9220
Depósito      | 337    | -8883
Saque         | 895    | -9778
----------------------------------------
Saldo Atual: -9778

Número da conta: 637
----------------------------------------
Detalhes das Transações:
----------------------------------------
Tipo          | Valor  | Saldo
----------------------------------------
Depósito      | 483    | 483
Saque         | 316    | 167
Depósito      | 66     | 233
Depósito      | 413    | 646
Depósito      | 430    | 1076
Depósito      | 976    | 2052
Saque         | 951    | 1101
Depósito      | 425    | 1526
Saque         | 574    | 952
Depósito      | 677    | 1629
Depósito      | 933    | 2562
Depósito      | 462    | 3024
Saque         | 405    | 2619
Saque         | 775    | 1844
Depósito      | 544    | 2388
Depósito      | 382    | 2770
Depósito      | 904    | 3674
Saque         | 534    | 3140
Saque         | 703    | 2437
Pagamento     | 70     | 2367
Depósito      | 534    | 2901
Pagamento     | 511    | 2390
Depósito      | 704    | 3094
Depósito      | 772    | 3866
Pagamento     | 848    | 3018
Pagamento     | 601    | 2417
Depósito      | 370    | 2787
Pagamento     | 831    | 1956
Pagamento     | 533    | 1423
Saque         | 551    | 872
Saque         | 22     | 850
Depósito      | 566    | 1416
Depósito      | 1065   | 2481
Saque         | 527    | 1954
Pagamento     | 362    | 1592
Depósito      | 764    | 2356
Pagamento     | 451    | 1905
Depósito      | 43     | 1948
Pagamento     | 582    | 1366
Depósito      | 807    | 2173
Depósito      | 679    | 2852
Pagamento     | 358    | 2494
Saque         | 609    | 1885
Depósito      | 309    | 2194
Depósito      | 431    | 2625
Saque         | 1165   | 1460
Pagamento     | 170    | 1290
Depósito      | 1055   | 2345
Depósito      | 410    | 2755
Pagamento     | 833    | 1922
Pagamento     | 1075   | 847
Saque         | 613    | 234
Depósito      | 884    | 1118
Pagamento     | 333    | 785
Depósito      | 1237   | 2022
Depósito      | 1018   | 3040
Depósito      | 497    | 3537
Depósito      | 195    | 3732
Saque         | 661    | 3071
Pagamento     | 414    | 2657
Depósito      | 366    | 3023
Saque         | 403    | 2620
Saque         | 318    | 2302
Saque         | 832    | 1470
Depósito      | 653    | 2123
Saque         | 545    | 1578
Pagamento     | 389    | 1189
Depósito      | 684    | 1873
Pagamento     | 803    | 1070
Saque         | 471    | 599
Saque         | 642    | -43
Depósito      | 757    | 714
Depósito      | 550    | 1264
Saque         | 771    | 493
Pagamento     | 909    | -416
Depósito      | 619    | 203
Depósito      | 818    | 1021
Pagamento     | 657    | 364
Depósito      | 757    | 1121
Depósito      | 447    | 1568
Depósito      | 471    | 2039
Depósito      | 574    | 2613
Depósito      | 640    | 3253
Pagamento     | 535    | 2718
Pagamento     | 1176   | 1542
Saque         | 545    | 997
Depósito      | 487    | 1484
Pagamento     | 776    | 708
Saque         | 415    | 293
Pagamento     | 275    | 18
Saque         | 681    | -663
Depósito      | 1007   | 344
Pagamento     | 801    | -457
Depósito      | 619    | 162
Depósito      | 736    | 898
Depósito      | 476    | 1374
Depósito      | 732    | 2106
Pagamento     | 907    | 1199
Pagamento     | 1005   | 194
Depósito      | 581    | 775
Pagamento     | 1047   | -272
Depósito      | 823    | 551
Pagamento     | 1277   | -726
Pagamento     | 626    | -1352
Depósito      | 630    | -722
Depósito      | 802    | 80
Depósito      | 601    | 681
Saque         | 1048   | -367
Pagamento     | 803    | -1170
Pagamento     | 883    | -2053
Depósito      | 608    | -1445
Depósito      | 626    | -819
Saque         | 650    | -1469
Saque         | 737    | -2206
Saque         | 805    | -3011
Pagamento     | 752    | -3763
----------------------------------------
Saldo Atual: -3763

Número da conta: 75
----------------------------------------
Detalhes das Transações:
----------------------------------------
Tipo          | Valor  | Saldo
----------------------------------------
Depósito      | 340    | 340
Pagamento     | 605    | -265
Pagamento     | 888    | -1153
Saque         | 666    | -1819
Saque         | 690    | -2509
Pagamento     | 869    | -3378
Saque         | 341    | -3719
Pagamento     | 1035   | -4754
Pagamento     | 613    | -5367
Saque         | 971    | -6338
Pagamento     | 835    | -7173
Depósito      | 981    | -6192
Saque         | 421    | -6613
Saque         | 680    | -7293
Pagamento     | 413    | -7706
Saque         | 891    | -8597
Depósito      | 1018   | -7579
Depósito      | 489    | -7090
Saque         | 713    | -7803
Saque         | 712    | -8515
Pagamento     | 507    | -9022
Pagamento     | 300    | -9322
Depósito      | 942    | -8380
Pagamento     | 616    | -8996
Pagamento     | 1132   | -10128
Depósito      | 479    | -9649
Saque         | 1005   | -10654
Pagamento     | 471    | -11125
Saque         | 497    | -11622
Depósito      | 242    | -11380
Depósito      | 615    | -10765
Saque         | 966    | -11731
Pagamento     | 596    | -12327
Depósito      | 422    | -11905
Depósito      | 616    | -11289
Depósito      | 290    | -10999
Depósito      | 851    | -10148
Pagamento     | 381    | -10529
Pagamento     | 428    | -10957
Saque         | 760    | -11717
Pagamento     | 628    | -12345
Pagamento     | 1058   | -13403
Pagamento     | 445    | -13848
Saque         | 465    | -14313
Pagamento     | 654    | -14967
Depósito      | 645    | -14322
Depósito      | 390    | -13932
Saque         | 292    | -14224
Saque         | 307    | -14531
Depósito      | 522    | -14009
Saque         | 667    | -14676
Depósito      | 482    | -14194
Depósito      | 885    | -13309
Saque         | 607    | -13916
Saque         | 1137   | -15053
Depósito      | 910    | -14143
Pagamento     | 590    | -14733
Saque         | 595    | -15328
Depósito      | 772    | -14556
Saque         | 863    | -15419
Saque         | 813    | -16232
Pagamento     | 732    | -16964
Depósito      | 562    | -16402
Saque         | 584    | -16986
Depósito      | 554    | -16432
Saque         | 864    | -17296
Depósito      | 987    | -16309
Saque         | 95     | -16404
Pagamento     | 851    | -17255
Pagamento     | 441    | -17696
Pagamento     | 439    | -18135
Depósito      | 552    | -17583
Pagamento     | 266    | -17849
Pagamento     | 609    | -18458
Depósito      | 589    | -17869
Pagamento     | 692    | -18561
Saque         | 982    | -19543
Depósito      | 811    | -18732
Depósito      | 737    | -17995
Pagamento     | 550    | -18545
Saque         | 308    | -18853
Saque         | 811    | -19664
Pagamento     | 666    | -20330
Pagamento     | 587    | -20917
Depósito      | 656    | -20261
Depósito      | 465    | -19796
Depósito      | 714    | -19082
Pagamento     | 1043   | -20125
Saque         | 436    | -20561
Saque         | 484    | -21045
Saque         | 660    | -21705
Depósito      | 1013   | -20692
Depósito      | 656    | -20036
Saque         | 582    | -20618
Saque         | 481    | -21099
Pagamento     | 460    | -21559
----------------------------------------
Saldo Atual: -21559

Número da conta: 683
----------------------------------------
Detalhes das Transações:
----------------------------------------
Tipo          | Valor  | Saldo
----------------------------------------
Saque         | 191    | -191
Pagamento     | 428    | -619
Saque         | 1129   | -1748
Depósito      | 775    | -973
Saque         | 784    | -1757
Depósito      | 747    | -1010
Depósito      | 661    | -349
Pagamento     | 717    | -1066
Depósito      | 562    | -504
Pagamento     | 614    | -1118
Depósito      | 518    | -600
Pagamento     | 710    | -1310
Pagamento     | 441    | -1751
Depósito      | 204    | -1547
Depósito      | 450    | -1097
Depósito      | 545    | -552
Saque         | 622    | -1174
Pagamento     | 704    | -1878
Saque         | 293    | -2171
Saque         | 753    | -2924
Depósito      | 1220   | -1704
Depósito      | 427    | -1277
Pagamento     | 665    | -1942
Pagamento     | 755    | -2697
Saque         | 665    | -3362
Saque         | 766    | -4128
Depósito      | 502    | -3626
Depósito      | 352    | -3274
Depósito      | 425    | -2849
Depósito      | 909    | -1940
Depósito      | 1222   | -718
Depósito      | 880    | 162
Depósito      | 825    | 987
Pagamento     | 917    | 70
Depósito      | 378    | 448
Depósito      | 777    | 1225
Saque         | 357    | 868
Depósito      | 299    | 1167
Saque         | 159    | 1008
Saque         | 708    | 300
Depósito      | 691    | 991
Depósito      | 637    | 1628
Saque         | 599    | 1029
Depósito      | 843    | 1872
Pagamento     | 567    | 1305
Depósito      | 851    | 2156
Depósito      | 823    | 2979
Saque         | 438    | 2541
Saque         | 614    | 1927
Saque         | 701    | 1226
Depósito      | 292    | 1518
Saque         | 1120   | 398
Depósito      | 1253   | 1651
Saque         | 576    | 1075
Pagamento     | 529    | 546
Depósito      | 1168   | 1714
Saque         | 812    | 902
Depósito      | 530    | 1432
Depósito      | 327    | 1759
Depósito      | 877    | 2636
Saque         | 799    | 1837
Saque         | 794    | 1043
Depósito      | 625    | 1668
Pagamento     | 301    | 1367
Depósito      | 372    | 1739
Saque         | 984    | 755
Saque         | 733    | 22
Saque         | 443    | -421
Depósito      | 708    | 287
Depósito      | 315    | 602
Saque         | 817    | -215
Depósito      | 423    | 208
Depósito      | 361    | 569
Pagamento     | 915    | -346
Pagamento     | 665    | -1011
Pagamento     | 742    | -1753
Saque         | 1136   | -2889
Pagamento     | 425    | -3314
Depósito      | 718    | -2596
Saque         | 857    | -3453
Saque         | 736    | -4189
Depósito      | 973    | -3216
Depósito      | 215    | -3001
Saque         | 1060   | -4061
Depósito      | 544    | -3517
Saque         | 581    | -4098
Depósito      | 916    | -3182
Pagamento     | 401    | -3583
Depósito      | 714    | -2869
----------------------------------------
Saldo Atual: -2869

Número da conta: 403
----------------------------------------
Detalhes das Transações:
----------------------------------------
Tipo          | Valor  | Saldo
----------------------------------------
Saque         | 335    | -335
Saque         | 13     | -348
Depósito      | 730    | 382
Depósito      | 970    | 1352
Depósito      | 748    | 2100
Saque         | 845    | 1255
Depósito      | 627    | 1882
Pagamento     | 691    | 1191
Saque         | 220    | 971
Saque         | 399    | 572
Saque         | 209    | 363
Depósito      | 1004   | 1367
Depósito      | 448    | 1815
Depósito      | 470    | 2285
Depósito      | 393    | 2678
Saque         | 392    | 2286
Depósito      | 602    | 2888
Saque         | 1295   | 1593
Saque         | 594    | 999
Saque         | 749    | 250
Depósito      | 522    | 772
Depósito      | 743    | 1515
Depósito      | 810    | 2325
Saque         | 259    | 2066
Pagamento     | 717    | 1349
Saque         | 899    | 450
Depósito      | 1179   | 1629
Saque         | 348    | 1281
Depósito      | 436    | 1717
Saque         | 783    | 934
Depósito      | 576    | 1510
Depósito      | 1039   | 2549
Depósito      | 82     | 2631
Depósito      | 526    | 3157
Saque         | 359    | 2798
Pagamento     | 842    | 1956
Depósito      | 483    | 2439
Depósito      | 385    | 2824
Saque         | 162    | 2662
Depósito      | 791    | 3453
Saque         | 526    | 2927
Depósito      | 987    | 3914
Depósito      | 855    | 4769
Depósito      | 525    | 5294
Depósito      | 406    | 5700
Saque         | 891    | 4809
Pagamento     | 214    | 4595
Depósito      | 840    | 5435
Saque         | 218    | 5217
Saque         | 767    | 4450
Depósito      | 728    | 5178
Depósito      | 664    | 5842
Depósito      | 721    | 6563
