Número da conta: 74
----------------------------------------
Detalhes das Transações:
----------------------------------------
Tipo          | Valor  | Saldo
Pagamento     | 424    | -23482
Depósito      | 463    | -23019
Pagamento     | 647    | -23666
Pagamento     | 399    | -24065
Depósito      | 779    | -23286
Depósito      | 570    | -22716
Pagamento     | 107    | -22823
Pagamento     | 1024   | -23847
Saque         | 503    | -24350
Depósito      | 679    | -23671
Saque         | 774    | -24445
Saque         | 210    | -24655
Depósito      | 921    | -23734
Pagamento     | 1059   | -24793
Saque         | 906    | -25699
Depósito      | 586    | -25113
Saque         | 625    | -25738
Saque         | 222    | -25960
Depósito      | 353    | -25607
Depósito      | 762    | -24845
Pagamento     | 134    | -24979
Saque         | 908    | -25887
Pagamento     | 979    | -26866
Saque         | 749    | -27615
Depósito      | 877    | -26738
Pagamento     | 575    | -27313
Depósito      | 344    | -26969
Depósito      | 981    | -25988
Depósito      | 715    | -25273
Depósito      | 661    | -24612
Pagamento     | 444    | -25056
Saque         | 529    | -25585
Depósito      | 266    | -25319
Pagamento     | 529    | -25848
Pagamento     | 905    | -26753
Depósito      | 317    | -26436
Saque         | 528    | -26964
Depósito      | 153    | -26811
Saque         | 518    | -27329
Saque         | 871    | -28200
Saque         | 536    | -28736
Depósito      | 555    | -28181
Pagamento     | 904    | -29085
Pagamento     | 743    | -29828
Saque         | 289    | -30117
Depósito      | 575    | -29542
Saque         | 996    | -30538
Depósito      | 775    | -29763
Depósito      | 456    | -29307
Depósito      | 804    | -28503
Saque         | 345    | -28848
Pagamento     | 663    | -29511
Saque         | 887    | -30398
Pagamento     | 615    | -31013
Pagamento     | 532    | -31545
Pagamento     | 266    | -31811
Depósito      | 958    | -30853
Depósito      | 413    | -30440
Pagamento     | 781    | -31221
Saque         | 727    | -31948
Saque         | 551    | -32499
Depósito      | 430    | -32069
Pagamento     | 606    | -32675
Saque         | 221    | -32896
Pagamento     | 462    | -33358
Depósito      | 351    | -33007
Saque         | 649    | -33656
Saque         | 759    | -34415
Saque         | 852    | -35267
Depósito      | 437    | -34830
Pagamento     | 596    | -35426
Depósito      | 662    | -34764
Depósito      | 800    | -33964
Depósito      | 630    | -33334
Pagamento     | 474    | -33808
Pagamento     | 685    | -34493
Saque         | 535    | -35028
Depósito      | 322    | -34706
Depósito      | 524    | -34182
Saque         | 455    | -34637
Depósito      | 306    | -34331
Depósito      | 880    | -33451
Saque         | 1049   | -34500
Pagamento     | 1242   | -35742
Saque         | 502    | -36244
Saque         | 860    | -37104
Depósito      | 343    | -36761
Pagamento     | 716    | -37477
Depósito      | 765    | -36712
Saque         | 829    | -37541
Pagamento     | 319    | -37860
Saque         | 533    | -38393
Depósito      | 541    | -37852
Pagamento     | 508    | -38360
Depósito      | 394    | -37966
Depósito      | 250    | -37716
Saque         | 145    | -37861
Depósito      | 324    | -37537
Depósito      | 713    | -36824
Pagamento     | 571    | -37395
Depósito      | 827    | -36568
Depósito      | 686    | -35882
Depósito      | 1255   | -34627
Saque         | 859    | -35486
Saque         | 666    | -36152
Saque         | 475    | -36627
Depósito      | 36     | -36591
Depósito      | 644    | -35947
Pagamento     | 706    | -36653
Depósito      | 542    | -36111
Pagamento     | 821    | -36932
Depósito      | 891    | -36041
Depósito      | 417    | -35624
Depósito      | 293    | -35331
Depósito      | 615    | -34716
Depósito      | 864    | -33852
Depósito      | 245    | -33607
Depósito      | 607    | -33000
Saque         | 618    | -33618
Saque         | 693    | -34311
Saque         | 723    | -35034
Saque         | 526    | -35560
Depósito      | 541    | -35019
Depósito      | 232    | -34787
Pagamento     | 762    | -35549
Saque         | 291    | -35840
Depósito      | 437    | -35403
Saque         | 739    | -36142
Depósito      | 605    | -35537
Saque         | 522    | -36059
Depósito      | 698    | -35361
Depósito      | 489    | -34872
Depósito      | 609    | -34263
Pagamento     | 704    | -34967
Pagamento     | 584    | -35551
Depósito      | 707    | -34844
Saque         | 836    | -35680
Depósito      | 655    | -35025
Depósito      | 883    | -34142
Depósito      | 645    | -33497
Saque         | 452    | -33949
Depósito      | 498    | -33451
Depósito      | 507    | -32944
Depósito      | 466    | -32478
Depósito      | 886    | -31592
Depósito      | 805    | -30787
Depósito      | 848    | -29939
Saque         | 493    | -30432
Depósito      | 900    | -29532
Pagamento     | 738    | -30270
Pagamento     | 544    | -30814
Pagamento     | 627    | -31441
Depósito      | 303    | -31138
Pagamento     | 518    | -31656
Depósito      | 638    | -31018
Pagamento     | 707    | -31725
Depósito      | 639    | -31086
Saque         | 984    | -32070
Saque         | 953    | -33023
Depósito      | 594    | -32429
Saque         | 909    | -33338
Depósito      | 555    | -32783
Pagamento     | 690    | -33473
Saque         | 1072   | -34545
Saque         | 290    | -34835
Saque         | 526    | -35361
Saque         | 863    | -36224
Saque         | 690    | -36914
Depósito      | 516    | -36398
Saque         | 386    | -36784
Saque         | 1017   | -37801
Depósito      | 20     | -37781
Saque         | 597    | -38378
Depósito      | 785    | -37593
Pagamento     | 921    | -38514
Depósito      | 883    | -37631
Depósito      | 670    | -36961
Pagamento     | 706    | -37667
Pagamento     | 798    | -38465
Depósito      | 442    | -38023
Pagamento     | 774    | -38797
Pagamento     | 349    | -39146
Depósito      | 892    | -38254
Depósito      | 544    | -37710
Saque         | 381    | -38091
Depósito      | 814    | -37277
Depósito      | 852    | -36425
Depósito      | 653    | -35772
Depósito      | 289    | -35483
Depósito      | 1038   | -34445
Depósito      | 280    | -34165
Depósito      | 519    | -33646
Saque         | 572    | -34218
Pagamento     | 407    | -34625
Depósito      | 430    | -34195
Depósito      | 572    | -33623
Depósito      | 358    | -33265
Depósito      | 522    | -32743
Saque         | 524    | -33267
Depósito      | 683    | -32584
Pagamento     | 688    | -33272
Pagamento     | 723    | -33995
Depósito      | 350    | -33645
Saque         | 439    | -34084
Saque         | 788    | -34872
Saque         | 77     | -34949
Pagamento     | 574    | -35523
Pagamento     | 196    | -35719
Depósito      | 687    | -35032
Depósito      | 376    | -34656
Depósito      | 218    | -34438
Depósito      | 502    | -33936
Saque         | 437    | -34373
Pagamento     | 687    | -35060
Depósito      | 433    | -34627
Saque         | 565    | -35192
Pagamento     | 364    | -35556
Depósito      | 411    | -35145
Saque         | 644    | -35789
Pagamento     | 796    | -36585
Pagamento     | 345    | -36930
Depósito      | 411    | -36519
Depósito      | 455    | -36064
Pagamento     | 449    | -36513
Depósito      | 691    | -35822
Saque         | 755    | -36577
Depósito      | 830    | -35747
Pagamento     | 675    | -36422
Depósito      | 505    | -35917
Depósito      | 410    | -35507
Saque         | 792    | -36299
Pagamento     | 628    | -36927
Depósito      | 499    | -36428
Pagamento     | 496    | -36924
Pagamento     | 872    | -37796
Pagamento     | 472    | -38268
Pagamento     | 258    | -38526
Depósito      | 78     | -38448
Pagamento     | 508    | -38956
Depósito      | 670    | -38286
Saque         | 772    | -39058
Pagamento     | 657    | -39715
Pagamento     | 643    | -40358
Depósito      | 902    | -39456
Pagamento     | 479    | -39935
Saque         | 688    | -40623
Pagamento     | 741    | -41364
Depósito      | 504    | -40860
Depósito      | 241    | -40619
Depósito      | 483    | -40136
Pagamento     | 674    | -40810
Depósito      | 583    | -40227
Pagamento     | 306    | -40533
Pagamento     | 896    | -41429
Depósito      | 605    | -40824
Depósito      | 304    | -40520
Depósito      | 594    | -39926
Depósito      | 642    | -39284
Depósito      | 871    | -38413
Depósito      | 385    | -38028
Saque         | 461    | -38489
Depósito      | 547    | -37942
Saque         | 115    | -38057
Depósito      | 958    | -37099
Depósito      | 537    | -36562
Pagamento     | 1227   | -37789
Depósito      | 498    | -37291
Depósito      | 858    | -36433
Saque         | 116    | -36549
Pagamento     | 119    | -36668
Depósito      | 269    | -36399
Depósito      | 953    | -35446
Pagamento     | 626    | -36072
Depósito      | 941    | -35131
Depósito      | 1026   | -34105
Depósito      | 599    | -33506
Pagamento     | 85     | -33591
Depósito      | 624    | -32967
Pagamento     | 1166   | -34133
Depósito      | 494    | -33639
Depósito      | 686    | -32953
Pagamento     | 789    | -33742
Pagamento     | 907    | -34649
Depósito      | 311    | -34338
Depósito      | 609    | -33729
Pagamento     | 190    | -33919
Pagamento     | 523    | -34442
Depósito      | 319    | -34123
Depósito      | 834    | -33289
Pagamento     | 134    | -33423
Pagamento     | 617    | -34040
Saque         | 707    | -34747
Saque         | 578    | -35325
Saque         | 868    | -36193
Saque         | 688    | -36881
Pagamento     | 526    | -37407
Saque         | 311    | -37718
Saque         | 956    | -38674
Depósito      | 654    | -38020
Pagamento     | 997    | -39017
Pagamento     | 741    | -39758
Depósito      | 297    | -39461
Saque         | 562    | -40023
Pagamento     | 484    | -40507
Saque         | 757    | -41264
Saque         | 582    | -41846
Depósito      | 363    | -41483
Saque         | 1089   | -42572
Depósito      | 635    | -41937
Depósito      | 1107   | -40830
Saque         | 790    | -41620
Depósito      | 861    | -40759
Saque         | 585    | -41344
Depósito      | 523    | -40821
Depósito      | 488    | -40333
Depósito      | 493    | -39840
Pagamento     | 212    | -40052
Pagamento     | 466    | -40518
Saque         | 872    | -41390
Depósito      | 540    | -40850
Pagamento     | 460    | -41310
Saque         | 392    | -41702
Pagamento     | 637    | -42339
Depósito      | 502    | -41837
Depósito      | 369    | -41468
Saque         | 1042   | -42510
Depósito      | 1207   | -41303
Saque         | 745    | -42048
Saque         | 545    | -42593
Depósito      | 335    | -42258
Depósito      | 458    | -41800
Saque         | 713    | -42513
Pagamento     | 71     | -42584
Depósito      | 808    | -41776
Depósito      | 693    | -41083
Saque         | 673    | -41756
Saque         | 895    | -42651
Depósito      | 850    | -41801
Saque         | 749    | -42550
Pagamento     | 283    | -42833
Depósito      | 1014   | -41819
Depósito      | 1352   | -40467
Saque         | 547    | -41014
Saque         | 342    | -41356
Depósito      | 942    | -40414
Saque         | 921    | -41335
Depósito      | 778    | -40557
Saque         | 470    | -41027
Pagamento     | 593    | -41620
Depósito      | 606    | -41014
Depósito      | 29     | -40985
Depósito      | 185    | -40800
Saque         | 633    | -41433
Depósito      | 625    | -40808
Depósito      | 856    | -39952
Saque         | 929    | -40881
Depósito      | 402    | -40479
Depósito      | 63     | -40416
Depósito      | 1021   | -39395
Depósito      | 716    | -38679
Pagamento     | 985    | -39664
Pagamento     | 104    | -39768
Depósito      | 510    | -39258
Depósito      | 618    | -38640
Pagamento     | 1066   | -39706
Pagamento     | 670    | -40376
Depósito      | 287    | -40089
Pagamento     | 542    | -40631
Depósito      | 625    | -40006
Depósito      | 875    | -39131
Saque         | 628    | -39759
Depósito      | 431    | -39328
Depósito      | 758    | -38570
Saque         | 783    | -39353
Saque         | 377    | -39730
Saque         | 842    | -40572
Saque         | 802    | -41374
Depósito      | 487    | -40887
Saque         | 463    | -41350
Depósito      | 380    | -40970
Pagamento     | 965    | -41935
Depósito      | 12     | -41923
Saque         | 987    | -42910
Depósito      | 515    | -42395
Depósito      | 246    | -42149
Saque         | 1095   | -43244
Depósito      | 669    | -42575
Depósito      | 584    | -41991
Depósito      | 370    | -41621
Saque         | 741    | -42362
Depósito      | 715    | -41647
Depósito      | 438    | -41209
Depósito      | 525    | -40684
Saque         | 562    | -41246
Depósito      | 1383   | -39863
Saque         | 544    | -40407
Pagamento     | 428    | -40835
Pagamento     | 772    | -41607
Pagamento     | 597    | -42204
Depósito      | 1064   | -41140
Depósito      | 770    | -40370
Saque         | 523    | -40893
Depósito      | 297    | -40596
Saque         | 655    | -41251
Saque         | 837    | -42088
Pagamento     | 516    | -42604
Pagamento     | 240    | -42844
Pagamento     | 882    | -43726
Pagamento     | 871    | -44597
Saque         | 224    | -44821
Pagamento     | 817    | -45638
Saque         | 488    | -46126
Depósito      | 707    | -45419
Depósito      | 994    | -44425
Depósito      | 795    | -43630
Pagamento     | 784    | -44414
Depósito      | 422    | -43992
Saque         | 544    | -44536
Pagamento     | 605    | -45141
Saque         | 87     | -45228
Depósito      | 473    | -44755
Saque         | 1124   | -45879
Depósito      | 673    | -45206
Saque         | 467    | -45673
Depósito      | 900    | -44773
Saque         | 646    | -45419
Saque         | 625    | -46044
Depósito      | 856    | -45188
Depósito      | 750    | -44438
Depósito      | 398    | -44040
Depósito      | 953    | -43087
Depósito      | 810    | -42277
Depósito      | 660    | -41617
Depósito      | 620    | -40997
Depósito      | 385    | -40612
Depósito      | 444    | -40168
Saque         | 189    | -40357
Depósito      | 959    | -39398
Depósito      | 796    | -38602
Depósito      | 812    | -37790
Depósito      | 619    | -37171
Depósito      | 587    | -36584
Depósito      | 381    | -36203
Pagamento     | 902    | -37105
Saque         | 576    | -37681
Pagamento     | 688    | -38369
Saque         | 335    | -38704
Saque         | 858    | -39562
Saque         | 756    | -40318
Saque         | 1033   | -41351
Saque         | 420    | -41771
Pagamento     | 426    | -42197
Pagamento     | 1069   | -43266
Pagamento     | 481    | -43747
Pagamento     | 476    | -44223
Saque         | 599    | -44822
Depósito      | 607    | -44215
Depósito      | 1083   | -43132
Saque         | 711    | -43843
Saque         | 831    | -44674
Saque         | 275    | -44949
Saque         | 1024   | -45973
Pagamento     | 917    | -46890
Pagamento     | 814    | -47704
Pagamento     | 1113   | -48817
Saque         | 791    | -49608
Depósito      | 983    | -48625
Pagamento     | 1030   | -49655
Saque         | 69     | -49724
Saque         | 585    | -50309
Depósito      | 551    | -49758
Depósito      | 474    | -49284
Saque         | 375    | -49659
Pagamento     | 555    | -50214
Depósito      | 826    | -49388
Pagamento     | 287    | -49675
Pagamento     | 681    | -50356
Pagamento     | 705    | -51061
Depósito      | 798    | -50263
Pagamento     | 425    | -50688
Pagamento     | 466    | -51154
Depósito      | 423    | -50731
Saque         | 601    | -51332
Saque         | 711    | -52043
Pagamento     | 489    | -52532
Pagamento     | 710    | -53242
Saque         | 825    | -54067
Depósito      | 1100   | -52967
Depósito      | 591    | -52376
Depósito      | 895    | -51481
Depósito      | 695    | -50786
Depósito      | 680    | -50106
Saque         | 761    | -50867
Pagamento     | 977    | -51844
Pagamento     | 721    | -52565
Depósito      | 896    | -51669
Depósito      | 704    | -50965
Depósito      | 705    | -50260
Saque         | 675    | -50935
Depósito      | 640    | -50295
Depósito      | 533    | -49762
Saque         | 980    | -50742
Pagamento     | 777    | -51519
Saque         | 715    | -52234
Depósito      | 1106   | -51128
Saque         | 544    | -51672
Pagamento     | 720    | -52392
Depósito      | 449    | -51943
Depósito      | 596    | -51347
Saque         | 688    | -52035
Pagamento     | 276    | -52311
Pagamento     | 598    | -52909
Depósito      | 462    | -52447
Pagamento     | 432    | -52879
Pagamento     | 129    | -53008
Saque         | 588    | -53596
Depósito      | 452    | -53144
Pagamento     | 761    | -53905
Saque         | 921    | -54826
Depósito      | 112    | -54714
Saque         | 678    | -55392
Depósito      | 687    | -54705
Saque         | 938    | -55643
Saque         | 666    | -56309
Saque         | 644    | -56953
Depósito      | 667    | -56286
Depósito      | 525    | -55761
Depósito      | 690    | -55071
Pagamento     | 604    | -55675
Depósito      | 775    | -54900
Depósito      | 518    | -54382
Saque         | 480    | -54862
Saque         | 540    | -55402
Saque         | 338    | -55740
Depósito      | 487    | -55253
Depósito      | 594    | -54659
Depósito      | 429    | -54230
Depósito      | 600    | -53630
Pagamento     | 846    | -54476
Depósito      | 759    | -53717
Saque         | 439    | -54156
Depósito      | 728    | -53428
Saque         | 705    | -54133
Depósito      | 1310   | -52823
Depósito      | 636    | -52187
Depósito      | 583    | -51604
Pagamento     | 615    | -52219
Depósito      | 727    | -51492
Depósito      | 562    | -50930
Depósito      | 407    | -50523
Pagamento     | 390    | -50913
Depósito      | 270    | -50643
Depósito      | 439    | -50204
Depósito      | 648    | -49556
Pagamento     | 396    | -49952
Pagamento     | 959    | -50911
Depósito      | 521    | -50390
Pagamento     | 913    | -51303
Depósito      | 441    | -50862
